OBJECTID,NAME,ADDRESS,CITY,PHONE,WEBSITE
68,The Brain,199 James Street North,Hamilton,289-396-8508 ,https://www.facebook.com/The-Brain-318287314767/
69,The Brassie,73 Wilson Street West,Hamilton,905-304-8935,http://www.brassiepub.com/
70,The Café,1365 Main Street East,Hamilton,N/A,https://www.facebook.com/TheCafeHamilton/videos/1598853130431146
71,The Casbah,306 King Street West,Hamilton,905-521-4441,http://casbahlounge.ca/
72,The Galley Pump,365 Wentworth Street North,Hamilton,905-529-0271,https://www.facebook.com/thegalleypumptavern/
73,The Gasworks/Park St. Gasworks,141 Park Street North,Hamilton,613-583-7140,http://parkstgasworks.com/
74,The Gladstone Tavern,1385 Main Street East,Hamilton,905-393-9842,https://www.facebook.com/thegladstonehamilton/?fref=ts
75,The Innsville,1143 Highway 8,Stoney Creek,905-643-1244,http://innsville.ca/
76,The Landing Restaurant,1479 Baseline Road,Hamilton,905-525-2187,http://www.thelandingrestaurant-banquets.ca/
77,The Lionshead Pub,137 John Street South,Hamilton,905-522-7090,https://www.facebook.com/pages/The-Lionshead-Pub/132769103423482
78,The Oakwood Place,1067 Barton Street East,Hamilton,905-547-4540,https://www.facebook.com/pages/The-Oakwood-Place/136303316327
79,The Pearl Company,16 Steven Street,Hamilton,905-524-0606,http://thepearlcompany.ca/
80,The Powerhouse,21 Jones Street,Stoney Creek,905-930-7381,http://thepowerhouse.ca/
