OBJECTID,AWARD_WINNER,PROJECT_DESCRIPTION,RECIPIENT_S,YEAR,CATEGORY,LOCATION,CITY,COORDINATES
1,Bioswales for Ottawa Street North,"As a response to significant stormwater runoff issues in Hamilton’s lower city, this project proposes bioswales or bioretention planters for Ottawa Street North as a mitigation measure. Ottawa Street N. was chosen as a demonstration site for stormwater management based on the high percentage of impermeable surfaces and associated runoff levels, metal contaminant levels found in road residue, and local air pollution levels. The design provides a streetscape intervention for Ottawa Street N. that is aesthetically pleasing while creating a healthy environment for the street and surrounding neighbourhood.
",Adele Pierre,2017,"Award of Merit for Student Projects, 2017","Ottawa Street North, from Argyle Avenue to Edinburgh Avenue",Hamilton,"-79.81551, 43.25296, 0.0"
2,Confederation Beach Park Branding & Wayfinding (Phase 1),"Through the Confederation Beach Park Master Plan efforts, it was identified that one of the first steps towards the revitalization of Confederation Park was to refresh the branding and wayfinding strategy. An early audit of the site identified that there was a lack of continuity and brand consistency throughout the many different signage fixtures and messaging within the park. The re-branding exercise would improve the overall visitor experience and provide additional methods of communication. As a result of the exercise, a family of signage fixtures was developed to create an overall “sense of place” and improve the quality of the public realm.
","City of Hamilton, Kramer Design Associates Ltd.,
Bestco Construction Ltd., Regional Signs Inc.",2017,"Award of Excellence for Urban Elements, 2017","680 Van Wagners Beach Road, Stoney Creek",Hamilton,"-79.74734, 43.24632, 0.0"
3,K-House,"This net-zero energy house combines photovoltaic panels, natural materials, traditional construction methods, and barrier-free design while facilitating aging in place. The landscape strategy includes the integration of resilient native species, porous surfaces and a pollinator rooftop garden seeking to support local wildlife. Natural, renewable and locally-sourced materials were used in the construction, including straw-bale walls. Little to no mechanical heating or cooling was required due to proper cross-ventilation and high-efficiency fireplaces.
","Office OU, Escape Designs, Evolve Builders Group, Blackwell Structural Engineers",2017,"Award of Excellence for Private Building - Residential: Single, 2017",,Ancaster,
4,Strathearne Suites,"This project involved converting a run-down rooming house into high quality, affordable, and supportive housing suites. The first phase included the renovation of the existing rooming house to meet current building and fire codes, and improve its integration with the surrounding community. Retrofits included new roofing, windows, insulation, cladding, and new electrical and mechanical systems. The second phase included a new addition, consisting of an accessible entrance, elevator, lounge, kitchen, laundry facilities, accessibility modifications to four units, staff offices, and landscaping. The constrained site required creative design and progressive planning permissions.
","Indwell Community Homes, Invizij Architects, Schilthuis Construction, Ira McDonald Construction",2017,"Award of Excellence for Private Building - Residential: Multi-Unit, 2017","311 Strathearne Avenue, Hamilton",Hamilton,"-79.79726, 43.24654, 0.0"
5,The Residences of Royal Connaught (Phase 1),"Having celebrated its Centennial last year, this first phase of the Royal Connaught re-development has given new life to one of Hamilton’s prestigious downtown icons. Throughout its life, the building has experienced several changes in ownership and uses. The current development team revitalized this iconic building into elegant condominium residences, restoring the building’s original façades and main lobby. The front façade restoration included the reinstatement of missing or damaged architectural features and the once forgotten lobby is now an elegant space, encompassed by the original canopy and two storey Roman arched windows. The windows frame the restored Corinthian columns, which allow pedestrians a glimpse into the past as they walk by. The animated streetscape will be further complemented by storefront windows, restaurants and cafés that overlook the treasured Gore Park.
","Royal Connaught Inc., KNYMH Inc., Hallex Engineering Ltd., Adesso Design Inc.",2017,"Award of Merit for Private Building - Residential:  Multi-Unit, 2017","112 King Street East, Hamilton",Hamilton,"-79.86602, 43.25535, 0.0"
6,Coop Restaurant,"This project involved the renovation of a historic commercial building into a new restaurant.
The majority of the historical façade was preserved with the exterior renovations including the replacement of the ground floor storefront, windows and signage. For contextual compatibility, a cohesive colour palette that included corten steel was used to incorporate the oranges and reds of the original brick. The graffiti-style signage and mural amplify the raw urban aesthetic of the project and build on the restaurant brand’s tongue-in-cheek sense of humour. The bright red entry doors provide a welcoming pop of colour and playfulness to the streetscape. The large windows of the storefront help form a connection between the interior and exterior and give guests an opportunity to stop, refuel and appreciate the local area from a comfortable vantage point.
","Tortoise Group, TCA | Thier + Curran Architects Inc., Maitland Spencer,
CoPa Engineering Ltd., Mighton Engineering, Vincent Formosi",2017,"Award of Merit for Private Building - Commercial, 2017","272 King Street West, Hamilton",Hamilton,"-79.87739, 43.25918, 0.0"
7,11 King Street,"Formerly the Mills China Shop, the heritage building at 11 King East facing Gore Park underwent a façade rehabilitation project, and now houses a new commercial venture. Restoration work included the creation of new wood cornices, restored mill work surrounding windows, masonry was cleaned and repointed, and all missing elements were replicated and replaced for architectural uniformity. As one of the original buildings fronting onto Gore Park, it was important that this effort complemented the adjacent Gore Park restoration efforts, reviving it as a pedestrian friendly and highlighted gem in the downtown core.
","Jaswant Majithia, Historia Building Restoration Inc.",2017,"Award of Merit for Private Building - Commercial, 2017","11 King Street East, Hamilton",Hamilton,"-79.86862, 43.2567, 0.0"
42,Witton Lofts,"The original strcture was built in the 1920's as Mcllwraith Elementary School. The reredevelopment was named after the original architect, William Palmer Witton. A three-storey contemporary glass addition sits atop the structure, creating 36 residential units.  Engineering studies could not determine the structural capacity of the existing foundation. The structure of the addition had to “bypass” the existing structure. The foundation for the addition was constructed with helical piers, essentially steel screws drilled into the ground to a level of solid bearing. Steel and glass for the upper structure were selected as light and complementary materials to the visually heavier brick and stone of the original building. Noise from nearby rail line and shutning yard resulted in mitigation measures such as thicker glass, increased airspace and a layer of lamintated film.","Lintack Architects Inc., Adesso Design Inc., WEBB Planning Consultants Inc., GUPM Construction Managers",2013,Award of Excellence in Adaptive Reuse,50 Murray Street West,Hamilton,"-79.8678314,43.26590280000001,0.0"
43,Tourism Hamilton Visitor Centre,"The project is located within the historic Lister Building which was constructed in 1924 as an interior mall. It is situated on James Street North which is the centre of Hamilton’s growing Arts and Culture scene. It is a street front location which serves as a multi-faceted visitor, retail and event space. A restored original wood storefront and new custom millwork, unique finishes, lighting and displays provide a new identity for Tourism Hamilton. An interactive screen allows users to access information from the street front.","TCA/Thier + Curran Architects Inc., APM Construction Services, Factor Design Initiative",2013,Award of Excellence in Contextual Architecture,28 James Street North,Hamilton,"-79.86825050000004,43.2577473,0.0"
44,Battlefield House Museum & Park National Historic Site,"A National Historic Site of Canada which was restored to recreate the original 1920's commemorative Landscape Plan to mark the war of 1812. The original design was influenced by the ""City Beautiful Movement"" which enhanced civic spaces and citizentry. The re-created plan includes conservation of archaeological, natural and cultural heritage aspects of the site. This includes: the Gage house garndens, the arrival courtyard and Monument Hill slope.","Alexander Budrevics & Associates Ltd., MHBC Planning Ltd., Pine Valley Enterprises Inc., Historic Horizon Inc.",2013,Award of Excellence in Cultural Landscape,77 King Street West,hamilton,"-79.7661028,43.2176201,0.0"
45,Emerald Park,"The project explores the issue of how a municipality can address under-utilized sites. The design proposal addresses the issue of soil contamination in a creative way. Affected areas will contain plants that provide phytoremediation. These plants have the ability to clean the air, soil and water. Portions of the site that are not contaminated are designed as passive open space. The use of paths, fences and strategically placed plantings lead people to the areas of the site that are suitable for recreation.",Leila F. Todd,2013,Award of Excellence in Environmental Design,60-82 Catherine Street and 69-75 Mary Street,Hamilton,"-79.8637268,43.2573973,0.0"
46,First Hamilton Christian Reformed Church,"This church building is located in the Durand neighbourhood, south of downtown Hamilton. The building was constructed in 1882 as a Methodist Church and became the First Hamilton Christian Reformed Church in 1949. The project includes restoration of the building envelope and interior elements of the building. The original features of the exterior of the building have been retained, while the building systems and interior layout have been updated for improved energy efficiency and accessibility.","Invizij Architects and Garwood-Jones & Hanham Architects, Merit Contractors Niagara",2013,Award of Excellence in Heritage Conservation,181 Charlton Avenue West,Hamilton,"-79.88104090000002,43.2516929,0.0"
47,118 James Street North,"This historical building is located on James Street North within Hamilton’s growing arts and culture community. It was constructed in the 1920’s and originally housed a furniture store. The project consists of renovations and restorations to the building and converting it into a mixed-use, multi-tenant commercial building. The two ground floor tenants with street frontage contribute to the local arts and culture community: CBC Hamilton Studio and the Art Gallery of Hamilton’s Design Annex.","TCA/Thier and Curran Architects Inc., Paul Squissato Construction Ltd.",2013,Award of Overall Excellence in Urban Design,118 James Street North,Hamilton,"-79.8672881,43.2599183,0.0"
48,"Good Shepherd Centre, Phase II","This site is located in the Strathcona neighbourhood, just east of Victoria Park. Phase 2 of this development consists of 156 affordable housing units within two eight-storey buildings. One building contains senior’s apartments with a main floor Wellness Centre. The other provides family apartments with main floor program and activity space. Each apartment building is located at the corner of the city block, and shares a courtyard space in the centre of the site.","TEAM/Thier and Curran Achitects Inc., PMA Landscape Architects Ltd., Maple Reinders",2013,Award of Overall Excellence in Urban Design,398 King Street West,Hamilton,"-79.8812406,43.2610501,0.0"
49,Winterberry Office Building,"The 45,000 square foot, 3 storey office forms a key gateway building to the larger development. Massing, façade lements, setbacks and landscaping introduces pedstrian and public transit user to building's interior mixed programming. Office spaces have been oriented and designed to maximize natural daylighting and increase the quality of indoor environment.","Sam Esposto Architect Inc., G. O'Connor Mokrycke Consultants, Don May Consulting, D & D Contracting Ltd.",2013,People's Choice Award,835 Paramount Drive,Hamilton,"-79.80715099999998,43.1926208,0.0"
50,C Hotels by Carmen's,"A six-storey, 52 suite luxury boutique hotel that is located next door to the Carmen’s Banquet Centre on Stone Church Road East. The architecture of the Hotel is uniquely “Carmen’s” with an entrance design that features a wing like canopy inviting visitors into the lobby. Leading the way, this hotel introduces a number of sustainable features such has energy saving elevators and digitally automated heating and cooling systems for every hotel room.","Romanov and Romanov Architects Inc., Edwards Design, Mulas Construction Ltd.",2011,Award of Merit in Architecture,1530 Sotne Church Road East,Hamilton,"-79.82312790000003,43.1939194,0.0"
51,St. Matthew Catholic Elementary School,"The school  is located at the corner of the site creating extensive areas for landscaping and play and for trees and shade. Parking and drop-off areas are placed at the side and rear of the building. The exterior of the building is brick and stone, and notably the location of the entrance is expressed by the two-storey portico. The flat roof at the corner provides a green roof with an outdoor classroom, bringing a new standard of design to inspire learning. This school is a LEED Silver candidate. Since the design employs a range of sustainable elements such as: deeply recessed windows, overhead canopies and sunshades, and the use of indirect sunlight for interior lighting. These elements are complemented by technological features such: as computer controlled heating and cooling, classroom meters that let students monitor power consumption, and lighting that adjust automatically to daylight conditions. ","Lintack Architects Inc., G. O'Conner Consultants Inc., Bondfield Construction Co. Ltd.",2011,Award of Merit in Architecture & Sustainability,200 Winwood Drive,Binbrook,"-79.81413499999996,43.11721439999999,0.0"
18,McQuesten Urban Farm,"McQuesten Urban Farm is Hamilton’s first urban farm and public space of its kind, in the heart of Hamilton’s east end. The space was designed with a great deal of insight provided by the community and those that actively use the space today. The urban farm provides an inclusive and welcoming space for the McQuesten neighbourhood. Fresh produce is available to residents for greater food security, opportunities for social enterprise, volunteer and skill-building and environmental and food education. These are just some of the benefits the farm has provided to its neighbours. Now producing over 50 000 pounds of fresh produce for the community annually, the McQuesten Planning Committee continues to work toward a sustainable social enterprise, with the addition of greenhouses and year-round food production
","McQuesten Community Planning Team, Bienenstock Natural Playgrounds, City of Hamilton Social Planning and Research Council",2017,"Award of Excellence for Civic Achievement, 2017","400 Melvin Avenue, Hamilton",Hamilton,"-79.77927, 43.24094, 0.0"
19,David Braley Health Sciences Centre,"The David Braley Health Sciences Centre has been positioned and composed to reinforce the surrounding civic precinct and enliven the downtown urban streetscape. It forms a new western definition to Commonwealth Plaza, a layered edge of paving and stone planter beds along Main Street and a new entry plaza at Bay and Main. The building massing steps back from Main Street in a series of roof top terraces that overlook the city hall and the escarpment to the south. It features a weathered copper clad multipurpose room that extends out over the side walk echoing the massing of the council chamber across the street. The building design extends the ground plane and public realm up through the building via a cascading series of public spaces that leads the visitor all the way to the top of the building as well as providing views of the surrounding city.
","McMaster University, NORR Limited, Dillon Consulting, André Scheinman Heritage
Preservation Consultant, Ball Construction",2017,"Chief Planner Award for Outstanding Contribution to the City of Hamilton Public Building, 2017","100 Main Street West, Hamilton",Hamilton,"-79.87364, 43.25669, 0.0"
20,Steelcity Living Student Thesis,The project “Steelcity Living” seeks to set a precedent to transform this brownfield site into a vibrant mixed-use community with affordable housing enriched by the remediation and preservation of the site’s industrial past. This community integrates parks and open spaces around the former steel mills. The project applies research and population demographic data to justify housing typologies suited to the adaptive re-use of the former industrial buildings. The study promotes the use of prefabricated housing modules that can be stacked within the former industrial structures. ,Desirae Cronsberry,2015,Award of Excellence in Student Research,386 Wilcox Street,Hamilton,"-79.8191928,43.272581,0.0"
36,David Braley Athletic & Recreation Centre at Mohawk College,"The David Braley Athletic and Recreation Centre houses 3 gymnasiums, a fitness centre, multi-purpose studio, and an indoor track in more than 64,000 square feet of stunning, newly constructed space. The facility also includes a Booster Juice, outdoor basketball and beach volleyball courts and other common areas for socialization, as well as office and meeting space for students and staff. The David Braley Athletic and Recreation Centre is Mohawk’s second LEED Gold certified building. Designed to meet green building targets, the David Braley Athletic and Recreation Centre and the Mohawk Students’ Association (MSA) Plaza are spaces that promote pedestrian mobility and a culture of sustainability at Mohawk College.","Perkins + Will Architects, IBI Group",2015,People's Choice Award,135 Fennell Avenue West,Hamilton,"-79.8884253,43.2387024,0.0"
21,Barton-Tiffany Urban Design Study,"The Barton-Tiffany area is a brownfield site that is 26 hectares in size. It provides a significant opportunity for urban regeneration by infusing new activity within the area.  The site also faces many design challenges, given the context of a disconnected waterfront, an abutting rail marshalling yard, and brownfield constraints from past industrial activities. The West Harbour Secondary Plan required the completion of an Urban Design Study prior to development of the lands.  The result is a compact, mixed-use community integrated into the broader city with a comprehensive transportation network. The study promotes placemaking features in the form of parks, plazas, streetscapes, and low and medium rise built form. The project was a design-led exercise that wove supporting studies into the final recommendations. These lands provide significant opportunities for urban regeneration by infusing new life into the area and building upon the proximity to the West Harbour GO station and the  waterfront. Community facilitation was integral to the creation of the study, which guided the built form and massing, parkland, streetscapes, and transportation options. ","City of Hamilton - Planning and Economic Development Department - Community Planning Section, GSP Group, Diamond Schmitt Architects, Paradigm Transportation Solutions, MTE Consultants Inc., HGC Engine",2015,Award of Excellence in Community Planning,Barton St W & Caroline St N,Hamilton,"-79.87251930000002,43.265765,0.0"
22,King William Performing Arts District Study,"The King William Performing Arts District Study proposes to create an integrated, mixed-use performance district centered on Theatre Aquarius. The project aim is to demonstrate how a mixture of performing arts spaces, supported by commercial and residential land uses, could form a district that would bring vibrancy to Hamilton’s Downtown. The urban design component of the study proposes the redevelopment of under-utilized lands and envisions mixed-use developments and lively streetscapes with theatrical facilities along the street edges.

Encouraged by Theatre Aquarius, the district would be a catalyst for a wide range of businesses that cater to the performing arts scene, making this area a dynamic and sustainable community.

The Performing Arts District would also relate to the James Street North art scene and other areas of the Downtown. This district complements the Downtown in a variety of ways, attracting people to the area for entertainment, housing, and business.
","Theatre Aquarius, Civicplan, David Premi Architects Inc.",2015,Award of Exellence in Precinct Planning,,Hamilton,"-79.86119359999998,43.2554233,0.0"
23,Gage Park Restoration,"The historic 28 hecate City park required restoration and preservation of signfiicant features to ensure the character and historical integrity is maintained. The restoration included the reconstruction of the 1927 feature fountain and reflecting pool. The park was upgraded with the installation of new mechanical systems, LED lighting fixtures, and plant material. Personal safety and comfort was enhanced by improving sightlines, illumination, and improved park attractions. It was necessary to integrate storm water management measures and use innovative low-impact techniques without altering or impacting the Park's design intent. Restoration materials included brick and stone that maintained the architectural features of the park. Finally, a new bicycle pump track was installed to attract new visitors to the park. ","City of Hamilton Public Works Department, Landscape Architectural Services, DTAH Limited, Steven Burgess Architect Ltd., Seferian Design Group, Landscape Planning Limited, Alpine Bike Parks Canada Inc",2015,Award of Excellence in Heritage Restoration,1000 Main Street East,Hamilton,"-79.8284625,43.2427693,0.0"
24,Binbrook Parkette,"Conceived as a “Public Square” in 1999 by the former Township of Glanbrook, this parkette is located at the main intersection in the Binbrook community core, and serves as a focal point for the community. The parkette was completed after ten years of planning and public consultation.

The design celebrates the connection of the community to its agricultural roots. The landform is designed to mimic the subtle undulations in the topography of the area. Bands of earth-toned concrete represent the furrows of farmers fields and a circular gathering space represents manmade forms juxtaposed with the landscape. This space accommodates events for the growing community and is a potential site for a significant public art piece.
","City of Hamilton Planning and Economic Development Urban Renewal Section, Adesso Design Inc., MTE Consultants Inc., Modern Ornamental Iron Works Limited",2015,Award of Excellence in Placemaking,Highway 56 and Binbrook Road,Glanbrook,"-79.8045482,43.1208592,0.0"
25,CIBC Breast Assessment Centre - Juravinski Hospital,"The CIBC Breast Assessment Centre consists of a repurposed building and an addition of an entrance pavilion for breast cancer screening and diagnostic services. The building was designed using principles of salutogenesis which promotes environments that support healing and well-being for clients, visitors, and families. The Centre is one of the first in North America to emphasize emotional and physical health through environmental design.

The centre's feature pavilion is set back from Concession Street and nestled into the landscape to create a welcoming but low-key arrival area. A walkway flanked by an allée of trees provides human scale and comfort, and beyond the entrance, visitors find a walled garden with seating.

The exterior of the building uses materials that respond to the emotional quality of the design. The pavilion features wooden slats designed to filter light through the glass, into the main waiting area.
","Hamilton Health Sciences, Zeidler Partnership Architects, Al Regehr Landscape Architect, Exp Services Inc., MTE Consultants Inc.",2015,Award of Excellence in Architecture,711 Concession Street,Hamilton,"-79.8459989,43.240447,0.0"
26,Hambly House,"Originally built in 1939 for Jack Hambly by architect Edward Glass, the house is one of a handful of Art Moderne houses in Ontario.

The Hambly House underwent a comprehensive restoration with the addition of a second storey wrapped in floor-to-ceiling glass and a dining area and porch on the ground floor.

The renovation and addition is sympathetic with the character of the original residence, and is currently on the Hamilton’s municipal register of Properties of Cultural Heritage Value or Interest.
","Lane Dunlop and Tina Fetner, David Premi Architects Inc., Vanderwesten Rutherford Mantecon, Ian McGregor Pools and Landscapes",2015,Award of Excellence in Architecture,170 Longwood Road North,Hamilton,"-79.8978826,43.26900069999999,0.0"
27,John Howard Society Landscaping,"The Society's mission is to provide effective, just and humane responses to the causes and consequences of crime through various programs and support services. The John Howard Society wanted to provide a welcoming and supportive space that has a sense of respect and dignity for their clients, who are often marginalized and live in poverty.

The design consists of a patio with seating areas that are framed by large wooden planters that provide a sense of enclosure. Metal trellises and canopies provide shade, complemented by trees, flowering plants and ornamental grasses that create visual interest and softness to this urban space.
","The John Howard Society, PMA Landscape Architects, TCA/Thier + Curran Architects Ltd. Escape Designs",2015,Award of Excellence in Civic Generosity,645 Barton Street East,Hamilton,"-79.83776749999998,43.256922,0.0"
28,North End Free Library and Public Bench,"A priviate initiative that promotes the sharing and exchange of books in the North End neighbourhood. This tactical urbanism action is a 'take a book, leave a book' gathering place. It is a civic gesture and public amenity that blurs the lines between public and private. It creates community and celebrates literacy in Hamilton's North End neighbourhood.

The design consists of a bench constructed of wooden slats on a sculpted steel frame that supports a suspended wooden box that features a cast resin window which comprises the library. Embracing the city's steelmaking heritage, the supporting steel frame is unfinished and raw, left with all the mill, tool and fabrication marks.
",Bill Curran and Maryanne Scime ,2015,Award of Excellence in Civic Generosity,56 Macaulary Street West,Hamilton,"-79.86534940000001,43.2713703,0.0"
29,541 Eatery & Exchange,"A renovation to an existing century old bank building located in Barotn Village. Presently, it is a socially conscious café that offers affordable, fresh, homemade meals at a low cost. The development includes the preservation of the ornate exterior of the building and the renovation of the ground floor into a café with office space on the second floor. As a charitable organization, 541 Eatery and Exchange provide a welcoming safe place where people can dine and engage with one another.","Drew Hauser, McCallum Sather Architects, Seguin Engineering Inc.",2015,Award of Outstanding Achievement & Excellence in Civic Generosity,541 Barton Street East,Hamilton,"-79.84234329999998,43.2582743,0.0"
30,Dundas District Lofts,"The residential condomonium was once known as Dundas District High School and was built in 1929 based on a Collegiate Gothic Style. The restoration and conversion required numerous challenges such as environmental measures, extensive tree and shrub planting, enhanced flood control and permeable paving in the parkingareas. The facades were restored to the original form along with stone detailing and carving of gothic style ornaments, gargoyles, pinnacles and decorative crests. The conversion also required implementing heritage conservation measures for the front and side façades to preserve the appearance of these façades. Private balconies were sensitively located at the rear of the property to avoid altering the architectural character of the protected façades, and provide residents with breathtaking views of the Niagara Escarpment.","Valvasori Properties, KNYMH Architects, IBI Group",2015,Award of Excellence in Adaptive Reuse,397 King Street West,Dundas,"-79.97199549999999,43.2722563,0.0"
