X,Y,OBJECTID,TITLE,ADDRESS,PHONE,FAX,EMAIL,TOLL_FREE,URL,DESCRIPTION,OPEN_DATATOURISM_LISTINGSAREA,LONGITUDE,LATITUDE
593541.704300000332296,4788286.388399999589,33,Rose Arden Bed & Breakfast,"266 Mountain Park Ave., Hamilton, L8V 1A5",905-387-2000,,rosearden@sympatico.ca,,www.rosearden.com,"Rose Arden is a century home located on the Hamilton escarpment, minutes from downtown, with a wonderful view of the city. Come and enjoy the view and our warm hospitality.",,-79.84784749999984,43.2415764999953
575902.532499999739,4782048.9395,34,Serenity Ranch Bed & Breakfast,"2171 Wilson Street West, Ancaster, L0R 1R0",289-346-0278,,stay@serenityranchbb.com,,www.serenityranchbb.com,"Rest...Relax...Renew...Recover...Welcome to Serenity Ranch Bed & Breakfast. Nestled in rolling farmlands just 15 minutes from downtown Hamilton, 20 minutes from Hamilton International Airport , 45 minutes from Toronto and 5 mins to the 403 Toronto/Niagara.",,-80.065935,43.18739909999531
591547.485799999908,4790078.786699999124,35,Sheraton Hamilton Hotel,"116 King St. W, Hamilton",905-529-5515,,,,http://www.sheratonhamilton.com,"Find a familiar comfort at the Sheraton Hamilton Hotel in Hamilton. Located in the heart of the business district, our hotel is connected to Copps Coliseum, the Hamilton Convention Centre, and two great shopping malls. Explore our neighbourhood, from the Art Gallery of Hamilton to the exciting Hess Village. The Standard Life office tower as well as federal and provincial government offices are within walking distance. Nestled between Toronto and Niagara Falls, we are a great location for your Southern Ontario explorations or your meetings and conventions. We look forward to welcoming you to the Sheraton Hamilton Hotel.",,-79.87210779999987,43.257958099995314
591201.930800000205636,4790075.977199999616,36,Staybridge Suites ,"20 Caroline Street South, Hamilton, L8P 0B1",905-527-1001,,,,www.staybridgehamilton.com,"Bridging the gap of leisure traveler wants and needs, the Staybridge Suites Hamilton – Downtown is proud to offer the best of both worlds. With pool and fitness centre facilities, free wireless internet, and 129 fully equipped guest suites, the only all-suites hotel in Hamilton is strategically designed to accommodate a wide variety of groups, individual and long-term travelers.",,-79.87636479999986,43.25797469999528
588504.662899999879301,4779445.4633,37,Super 8 Motel,"2975 Homestead Drive, Mount Hope, L0R 1W0",905-679-3355,,super8hamiltonon@hotmail.com,,www.super8.com,"The Super 8 of Mount Hope is within minutes of Hamilton Airport, Canadian Warplane Museum, Cayuga Speedway and only 20 minutes to downtown convention center, 45 minutes to Niagara Falls and 45 minutes to Toronto. For recreation the area offers fishing, golf, shopping, beach, fitness center, Spa and casino.",,-79.91129379999988,43.16258839999526
587284.601099999621511,4789420.519099999219,16,Hamilton West Guest House,"110 Leland Street, Hamilton, L8S 3A2",905-923-9254,,Zhazem@hotmail.com,,http://www.booking.com/hotel/ca/mcmaster-guest-house-b-amp-b.html,"HWGH offers a bed rooms (no meals) with quality and friendly accommodation for budget travelers and students, its located 6 minutes walking to McMaster University and Hospital, close to many of the city's major attractions and to public transport. This Hamilton property provides free WiFi in all rooms. BBQ facilities and a well-tended garden are on-site.",,-79.9247227999999,43.25253739999531
588157.19579999987,4778478.777599999681,17,Homestead House,"3272 Homestead Drive, Mount Hope, L0R 1W0",905-679-2581,,bvtschan@shaw.ca,,http://www.homesteadhousebb.ca/,"Featuring a sun deck, hot tub and solarium. The Airport Travelers first choice. Two minutes to the Hamilton International Airport. 10 minutes to Hamilton. 45 minutes to Toronto. 55 minutes to Niagara Falls & Casino.",,-79.9157211999999,43.15392569999527
591360.328499999828637,4789981.0842,18,Homewood Suites by Hilton Hamilton,"40 Bay Street South, Hamilton, L8P 0B3",905-667-1200,,yhmhw_homewood@hilton.com,,www.hamilton.homewoodsuites.com,"Homewood Suites by Hilton Hamilton, Ontario, Canada, is the perfect accommodation choice for business or leisure in the heart of downtown Hamilton with close proximity to corporate and government offices, and a multitude of shopping and dining options.",,-79.87442939999985,43.25710119999525
563839.714399999939,4798416.0467,19,John Bayus Park,"1429 Sheffield Rd., 35, Cambridge, N1R 8B2",519-623-2845,,none@none.available,,http://www.campgrounds.org/campground?id=185,John Bayus Park offers quiet family camping at their small 18 site campground. There are places for both seasonal and overnight campers with some serviced sites available as well as a recreation hall and games area.,,-80.21246910000004,43.33588129999531
585373.258399999700487,4790878.585899999365,20,King's Court Rental Home ,"86 King Street East, Dundas, L9H 1C2",905-517-1862,,,,www.kingscourtrentalhome.com,"This beautiful furnished four bedroom home in historic Dundas has everything you need! You will find parking, laundry, Wi-Fi, cable TV, a fully set up kitchen, outdoor seating, comfortable beds (2 Queen, 1 Double, 1 Single). This home is perfect for a family! You can walk to stores, boutiques, restaurants, grocery store, and hiking and biking trails. Only ten minutes from McMaster University, 20 minutes to the soccer stadium and 40 minutes to the cycling Velodrome in Milton.",,-79.94803909999992,43.26588349999524
580623.321000000461936,4808165.3602,21,Lawson Park,"322 Concession 11 Rd. E., Freelton, L0R 1K0",905-659-3395,,susanlawson@lawsonpark.ca,,www.lawsonpark.ca,"Pull-through sites with water, sewer electric available for tourists. Please call ahead for reservations. Seasonal, monthly, and weekly sites for campers locally. Large sites. Muskoka like setting.",,-80.00401709999996,43.42204279999528
588338.188500000163913,4775926.988099999726,22,Log Inn B&B,"8211 Chippewa Creek Road E, Mount Hope, L0R 1W0",905-679-1876,,loginn@shaw.ca,,www.loginnbb.ca/loginne.htm,Log Inn is a gentle place to relax. Explore 86 acres of forest and wetland. If you enjoy walking you can experience forest and meadows steps from the house.,,-79.91390229999989,43.13093019999526
591957.1875,4790868.883899999782,23,MacNab Terrace Guest House,"256 - 258 MacNab Street North, Hamilton, L8L 1K3",905-572-7878,,joinus@macnabterrace.ca,,www.macnabterrace.ca,"A renovated historical guest house with 10 rooms and an apartment featuring self catering for the visitor wanting a centrally located comfortable place for a week, a month or longer.",,-79.86692919999986,43.26502139999527
570752.19550000037998,4806750.336799999699,24,Maple Grove Trailer Park,"1488 Concession 11 West, Flamborough, N0B 2J0",905-659-3311,,,,www.maplegroveflamborough.com,"Maple Grove offers a large amount of space in which to enjoy the local wildlife and picturesque scenery. In addition to 100 spacious trailer sites, we have large grassy areas, very large natural wooded areas and wetlands, large fishing pond fed by a fresh water creek, a nature lovers paradise with 100 seasonal trailer sites",,-80.12612870000001,43.4102997999953
587630.825799999758601,4790503.1782,25,McMaster University - Conference & Event Services,"1280 Main Street West, Hamilton, L8S 4K1",905-525-9140 ext. 24781,,meet@mcmaster.ca,,http://conference.mcmaster.ca,,,-79.9202860999999,43.26224449999527
590166.269299999810755,4788121.3278,26,Mohawk College Residence and Conference Centre,"245 Fennell Avenue West, Hamilton, L9C 7V7",905-385-3200 ext. 4006  ,,mohawk@stayrcc.com,,http://www.stayrcc.com/hamilton,"Air-conditioned accommodations located minutes from downtown, on the Hamilton escarpment. Suites include two private bedrooms, kitchenette, private bathroom. Year round meeting & conference services facility. Affordable summer accommodations. Daily, weekly and monthly rates available from May to August. Rate includes parking, internet, local calls, continental breakfast*  (*restrictions apply)",,-79.88944189999988,43.24050159999529
577549.050499999895692,4794999.0445,27,Olympia Village RV Park and Campground ,"1161 Conc 4, RR 2, Waterdown, L0R 2H2",905-627-1923,,info@olympiavillage.ca,,www.olympiavillage.ca,"New! Drive-Thru Sites 30/50 amp, water, sewer. Located in rural Hamilton. Close to the QEW, 403, #5, #6 & #8 highways. Minutes to all of Hamiltons Attractions. eg. 6 Golf Courses within 5 minutes",,-80.04385349999998,43.303827499995315
585322.924899999984,4790270.598899999633,28,Osler House Bed & Breakfast,"30 South St. W., Dundas, L9H 4C5",289-238-9278,,Gary@oslerhouse.com,,www.oslerhouse.com,"This elegant and historic 1848 home has been painstakingly restored and is now open as a boutique inn. This was once the home of Sir William Osler and his illustrious family. Located minutes away from beautiful downtown Dundas, and less than 5 minute drive from McMaster University and Health Centre, and 10 minutes away from downtown Hamilton as well as picturesque nature trails and waterfalls",,-79.94875339999992,43.26041539999528
572043.476599999703467,4796711.179899999872,29,Pine Valley Park Campground Resort,"955 Valens Rd., Flamborough, N0B 1L0",519-623-4998 ,,info@pinevalleypark.com,,www.pinevalleypark.com,"Rated one of the Best 3 Family Campgrounds in Ontario! Our campground offers 2 playgrounds, 40x80 pool, mini-lake stocked with fish, frogs & turtles. Located 5 minutes from African Lion Safari, 20 minutes from Hamilton. Quiet, clean and relaxing.",,-80.111502,43.31978999999531
570535.533499999903,4801388.838899999857,30,Ponderosa Nature Resort,"1218 Concession Road 8 West, Flamborough, N0B 2J0",905-659-3410,,PNR@PonderosaResort.ca,,www.ponderosaresort.ca,"The Ponderosa Nature Resort is open the year round for your recreational pleasure. Canada's loveliest family nudist resort. A spacious countryside surrounds you. Nature trails wind through stands of pine, cedar and mature hardwoods.",,-80.1294955,43.36204829999523
590415.004300000146031,4791159.9513,1,Admiral Inn Hamilton,"149 Dundurn Street, Hamilton, L8R 3E7",905-529-2311,,hamilton@admiralinn.com,,www.admiralinn.com,The Award Winning Admiral Inn Hamilton has been newly renovated for your comfort and convenience. Minutes away from downtown Hamilton and a hidden gem of the city! Stay & Dine at our famous Reflections restaurant on site. The following is always included in your stay: Complimentary Ample Parking Complimentary Wireless high-Speed Internet Access Complimentary Local Calls,,-79.88588019999986,43.26782849999528
595621.931900000199676,4783022.284399999306,2,Best Western Premier C Hotel by Carmen's,"1530 Stone Church Road E, Hamilton, L8W 3P9",905-381-9898,,info@carmenshotel.com,,http://www.carmenshotel.com/,"European boutique style and luxury. A fusion of design and comfort, simplicity and sophistication. Embrace luxury as you step inside the chic lobby of the boutique C Hotel by Carmen's. We break down the walls that separate leisure and business travel so you can find the right balance between work and play.",,-79.82314249999982,43.1939236999953
611091.1003,4784587.8703,3,Caboose Farm Stay,"1468 #8 Highway, Winona, L8E 5K9",905-643-1015,,info@puddicombefarms.com,,www.puddicombefarms.com,"Looking for that unusual holiday? Then come on board Caboose One, a fun relaxing holiday on our farm. Enjoy the view and walk through the vineyards & orchards",,-79.63249189999948,43.205900899995214
600515.069699999876,4787652.706399999559,4,Comfort Inn Hamilton,"183 Centennial Parkway North, Hamilton, L8E 1H8",905-560-4500,,cn268@whg.com,,www.choicehotels.ca,"Conveniently located near the Q.E.W. Highway between Toronto and Niagara Falls. Closely situated to all area attractions, restaurants and shopping.",,-79.76209109999974,43.234974499995225
589937.348000000230968,4785328.7354,5,Cottage in the City,"918 West 5th St., Hamilton L9C 3R7",905-389-5067,,,,www.bbcanada.com/8212.html,"Comfortable setting. Close to the John C. Munro Hamilton International Airport. Air conditioning, reasonable rates and access to refrigerator. Coffee/tea corner.",,-79.89271619999988,43.215387099995304
590228.396800000220537,4785352.2758,6,Courtyard by Marriott,"1224 Upper James St., Hamilton, L9C 3B1",905-383-7772,,,,http://www.courtyardhamilton.com,"Conveniently located 15 minutes of the Hamilton International Airport (YHM) and 20 minutes to downtown Hamilton. The Courtyard by Marriott Hamilton hotel surrounds travellers with the amenities that make business and pleasure travel effortless. Relax in comfort in one of our beautifully appointed guest rooms with mini-refrigerator and free high speed internet. Unwind in our Indoor Pool, Whirlpool or Fitness Centre. The hotel is close to businesses, dining, shopping and entertainment.",,-79.88912969999987,43.21556429999524
592125.127899999730289,4789762.709699999541,7,Crowne Plaza Hamilton,"150 King Street East, Hamilton, L8N 1B2",905-528-3451,,info@cphamilton.com,,http://www.crowneplaza.com,"Newly unveiled 214 guestroom luxury property in downtown Hamilton. Facilities include on-site restaurant, fitness centre, pool and adjacent newly opened state-of-the-art Lincoln Alexander Conference Centre.",,-79.86504529999986,43.25504209999531
599836.243499999866,4790803.0405,85,Lakeland Centre,"180 Van Wagner's Beach Rd. Hamilton,ON",905-544-3951,,confed@conservationhamilton.ca,,www.conservationhamilton.ca,"On the shores of Lake Ontario feature a banquet hall for 130 guests, an outdoor public pool, a 30 foot viewing tower and Lakeland Bistro with healthy menu choices. ",,-79.76987869319603,43.26342590948155
595086.542600000277162,4782692.265599999577,86,Mount Albion Conservation Area,60 Arbour Rd.,905-389-4550,,dvalley@conservationhamilton.ca,,www.conservationhamilton.ca,"One of the Hamilton Conservation Authority's two outdoor education sites, Mount Albion is a passive 41-hectare conservation area that features excellent wildlife observation opportunities.",,-79.8297871752884,43.191020157108476
592434.182400000281632,4792148.947899999097,87,Outdoor Skating Rink at Pier 8,"47 Discovery Drive, Hamilton, ON L8L 8K4",905-523-4498,,information@hamiltonwaterfront.com,,http://www.hamiltonwaterfront.com/2011/11/01/hamilton-outdoor-ice-rink/,"Summertime roller skating, or wintertime ice skating. The Pier 8 Outdoor Recreational Skating Rink is a free rink open to the public. For those of you who do not have skates, they will be offering skate and helmet rentals.",,-79.86083799999984,43.276487299995246
592166.147199999541044,4791810.584499999881,88,Pier 4 Park,"Bay Street North and Guise Street West, Hamilton, ON CA",905-546-2489,,,,www.hamilton.ca,"One of the most striking features of Pier 4 Park is the popular Bayport tugboat (c. 1945). The Bayport is oriented to provide children with a full view of the water and forms the centrepiece of a unique, interactive play area including water spray pad. A curved boardwalk with a pavilion and benches offers spectacular, panoramic views of the surrounding marinas and parkland, and a shoreline promenade allows access to the water's edge. The site is also a superb vantage point from which to enjoy water activities such as boating, windsurfing, and sailing.",,-79.86419729999986,43.273473899995246
590550.154400000348687,4791344.134899999946,89,The Kitchen Garden at Dundurn,"610 York Boulevard, Hamilton, ON, L8H 3H1",905-546-2872,,dundurn@hamilton.ca,,http://www.hamilton.ca/dundurn,"The Kitchen Garden at Dundurn National Historic Site catered to the nutritional needs and aesthetic desires of the MacNab family 150 years ago. The authentically restored 2-acre Kitchen Garden, where 1850s tools and techniques are used to grow food for Dundurn Castle's historic kitchen, is open free to the public. Staff and volunteers wear period costumes as they work in the garden and interpretive programs offer opportunities to harvest food in the garden and prepare recipes in Dundurn's historic kitchen. Enjoy informative stories and gardening knowledge conveyed by costumed garden staff during free Historic Garden Tours each Saturday and Sunday in July and August from 12:30pm to 1:30pm and from 2pm to 3pm.",,-79.8841848581687,43.26947046637548
569644.294800000265241,4803727.2211,90,Valens Conservation Area,"1691 Regional Road 97 (R.R. #6) Cambridge, ON",905-525-2183,,valens@conservationhamilton.ca,,http://www.conservationhamilton.ca/parks/visit/valens.asp,"Valens is a 300-hectare paradise for outdoor enthusiasts. Visitor's can enjoy a wide range of activities from camping in any season to fishing, hiking, swimming, wildlife observation and winter sports.",,-80.14019598127854,43.38318507677164
592434.182400000281632,4792148.947899999097,91,Waterfront Wheels,"47 Discovery Drive, Hamilton, ON L8L 8K4",905-523-4498,,,,http://www.hamiltonwaterfront.com,"Rent a bike and explore the Hamilton Waterfront. Rates range from $ 6.00 to$ 30.00 per hour. We offer Children, Youth Adult,Tandem, Adult Trike and 1 and 2 bench Surrey Bicycles. All rentals require current photo I.D and deposit.",,-79.86083799999984,43.276487299995246
583221.482599999755621,4786814.0405,38,The Barracks Inn,"425 Wilson Street, Ancaster, L9G 2C4",289-445-1234,,reservations@thebarracksinn.com,,www.thebarracksinn.com,"The Barracks Inn is conveniently located within walking distance of the Ancaster Mill, a most popular wedding venue. Also within walking distance the Ancaster Village has great shopping with many boutique stores, The Spa at Ancaster, many dining options such as Cavallo Nero’s, the Rousseau House restaurant and lounge, and many more. The Barracks Inn features 18 luxuriously appointed rooms, subtly blending unique period décor with the finest of modern guest amenities. This unique boutique inn will cater to the leisure and business traveller. Featuring conference/meeting/group facilities, Spa Packages, Golf Packages, Couple/Romance package, and Holiday/Winter Packages.",,-79.97516259999993,43.229530099995294
584760.0696,4791146.321699999273,39,The Homestead 1867,"36 Melville Street, Dundas, L9H 1Z8",289-238-8720 ,,info@thehomestead1867.ca,,www.thehomestead1867.ca,The house was built in 1867 and it was owned by one family who lived there for many generations. This bed & breakfast is an ideal place for a short break or longer stay in the Heritage District of downtown Dundas. It is just a few steps to a great variety of shops and restaurants. McMaster University in Hamilton is a short ten minutes drive away from our house. The Dundas Valley is very attractive for all kinds of outdoor activities.,,-79.95555229999991,43.268363199995306
581485.77280000038445,4778284.805099999532,40,The Shavers Bed & Breakfast,"1868 Shaver Road, Ancaster, L9G 3L1",905-648-3326,,theshaversbnb@gmail.com,,http://www.theshaversbnb.ca/,Enjoy our 650 sq.ft. self-contained private suite/private entrance/private bathroom/all amenities included. Corporate/ Weekly rates available.,,-79.99779129999996,43.15292739999528
581110.078300000168383,4784560.5119,41,Tranquility Base B & B,"110 Abbey Close, Ancaster, L9G 4K7",905-648-1506,,tranquilitybnb@cogeco.ca,,www.tranquilitybase.on.ca,"We cater to guests that come to Ancaster, Dundas and Hamilton for weddings and visiting family. We are ideally located for vacation travelers who want a unique experience.",,-80.00149089999994,43.209470699995286
568727.386699999682605,4804223.701799999923,42,Valens Conservation Area and Campground,"1691 Regional Road 97, Cambridge, N1R 5S5",905-525-2183,,valens@conservationhamilton.ca,,www.conservationhamilton.ca/,"Valens is a 300-hectare paradise for outdoor enthusiasts. Visitors can enjoy a wide range of activities from camping in any season to fishing, hiking, swimming, wildlife observation and winter sports.",,-80.15145222601608,43.387739675405896
589522.376000000163913,4790299.472599999979,43,Visitors Inn,"649 Main Street West, Hamilton, L8S 1A2",905-529-6979,,reservations@visitorsinn.com,,www.visitorsinn.com,"Whether you are on a business trip, holding a small meeting, enjoying a relaxing weekend, or attending a family function, you are assured of a warm and friendly welcome when you stay at the Visitors Inn Hotel. You will discover elegant rooms, Jacuzzi Suites, Meeting Room and VIP Restaurant. Beautiful Indoor Pool, Jacuzzi, Exercise room. Free internet, coffee-makers, fridges, mini-bars and iron/boards. Located minutes to McMaster or Downtown.",,-79.89701729999989,43.26018819999529
596079.26410000026226,4789415.6543,44,337 Sketch Gallery,"337 Ottawa St N, Hamilton, ON L8H 3Z8",905-966-2892,,337sketch@gmail.com,,http://www.facebook.com/pages/337-Sketch-Gallery/214506261926943#!/pages/337-Sketch-Gallery/214506261926943?sk=info,Open Wed - Sat:10:00 am - 5:00 pm,,-79.81640199999978,43.25142399999529
591935.43030000012368,4790325.164799999446,45,AGH Design Annex ,"118 James Street North, Hamilton, ON L8R 2K7",905-667-6620,,annex@artgalleryofhamilton.com,,http://www.artgalleryofhamilton.com/da_index.php,"The Design Annex is a creativity lab where experimental exhibitions are mounted and intimate performances staged, complemented by an exciting home and office Art + Design Store and versatile venue rental space. Located at 118 James Street North in a beautifully restored 19th century heritage building, the AGH Design Annex provides an alternate venue for AGH programming and events that is unique in Hamilton.",,-79.86728799999986,43.26012899999528
596039.241100000217557,4789197.2661,46,AllSorts Gallery,"244 Ottawa Street North, Hamilton, ON L8H 3Z7",905-393-7381,,info@allsortsgallery.com,,http://www.allsortsgallery.com,"AllSorts Gallery, located in the Ottawa Street BIA at 244 Ottawa Street North in Hamilton, Ontario, Canada provides a venue for Hamilton and area artists to display and sell their work. As a group we work to increase awareness and appreciation of the arts in the community.",,-79.8169329999998,43.24946299999526
591982.839999999850988,4790624.4885,47,Art @ 231 ,"231 James Street North, Hamilton, ON L8R 2L2",905.617.0722,,info@artat231.com,,http://www.artat231.com,"Art @ 231 is a beacon for artists to exhibit their works. It is an intimate gallery that helps set the stage in a beautiful, clean, bright open space in the heart of James Street North in Hamilton, Ontario. As active participants in the ongoing development of the art culture in the James Street North community, our objective is to assist artists to exhibit, promote, organize and sell their art.",,-79.86665399999984,43.262817999995264
591524.244199999608099,4789998.8574,48,Art Gallery of Hamilton,"123 King St. W. Hamilton,ON L8N 1A9",905-527-6610,,info@artgalleryofhamilton.com,,http://www.artgalleryofhamilton.com,"Art Gallery of Hamilton is home to a comprehensive collection of Canadian historical, contemporary art and an impressive European collection. AGH hosts an exciting schedule of varied exhibitions and programming.*2012 First Fridays: Beginning in 2012, the Gallery will be open from 11:00 am - 8:00 pm on the First Friday of each month. Free admission to GALLERY LEVEL ONE exhibitions will be from 4:00 pm - 8:00 pm.",,-79.87240736813688,43.25724132415243
591969.733900000341237,4790693.0664,49,Artword Artbar,"15 Colbourne St., Hamilton, ON L8R 2G2",905-543-8512 ,,artword@artword.net,,http://www.artword.net/artbar/,"A friendly cafe-bar, live music and art venue in the heart of James North arts district. Great acoustic music, in the roots, folk, jazz, world beat and inventive mode. We have a baby grand piano, a sound system. Licenced under the LLBO for 60, table seating for 40 or so, micro-brew on tap, espresso, light meals.",,-79.86680399999986,43.2634369999953
592004.255599999800324,4790583.681099999696,50,b contemporary,"226 James Street North, Hamilton, ON L8R 2L3",289 389 3949,,davidbrace@bcontemporary.ca,,http://www.bcontemporary.ca,"b contemporary is located in the heart of the James St North Arts District. The street is an eclectic mix of businesses with an international flavour. Markets, cafes, restaurants, and retail businesses create a vibrant street life. The Art Crawl, in the evening on the second Friday every month, is an exciting night of gallery openings, studio open houses, and performances.",,-79.86639699999985,43.26244799999528
591993.282599999569356,4790626.629499999806,51,Blue Angel Gallery,"243 James St. North, Hamilton, ON L8R 2L2",905.522.8735 (voice),,,,https://www.facebook.com/blueangelsofthegallery,"It was time for new Angels to find a home to share their joy and pizzazz to the James Street North Art District in Hamilton, Ontario. We are having so much fun that we don't want to return because Earth is a such splendid place for us to create our heavenly artwork. Please come to visit and help spread the magic!",,-79.86652499999984,43.26283599999527
591629.9413,4789508.297299999744,52,Bold Artiste,"6 Bold Street, Hamilton, ON L8P 1T2",905-902-2219,,boldartiste@gmail.com,,www.boldartiste.com,"The art studio will be selling and promoting the creations of established and emerging artists located in Hamilton and the surrounding area. The studio will offer art of various genres and media suitable for framing, sculpture, glass, wood, textiles, jewelry, handmade specialty cards and unique gifts for every occasion.",,-79.87118699999986,43.25281199999525
591936.769199999981,4790442.034,53,Centre3 for Print and Media,"173 James St. N., Hamilton, ON L8R 2K9",905-524-5084,,education@centre3.com,,http://centre3.com/,"As an artist run centre, the Centre 3 for Print and Media Arts mission is to create a professional print media environment for practicing artists and the community at large with integrative production, presentation, arts education and community programming.Visitors are welcome to experience the diverse print media on exhibit in the Gallery during scheduled hours. The Print Studio also offers a regular schedule of Education and Community Programs.",,-79.86725199999984,43.26118099999524
591017.058299999684095,4790136.8407,54,CIRCA,"112 George Street, Hamilton, ON L8P 1E2",905-921-1237,,projects.circa@gmail.com,,www.circaprojects.com,"CIRCA is iloks / swell's collaborative exploration of the ever-changing meanings and experiences of photography. Through small-scale exhibitions, events and services, CIRCA offers everyone a place to share ideas and stories about how we have been touched by photography in multiple ways. CIRCA presents theme-oriented photography exhibitions of original content dating from the 1840s to the present. Exhibitions feature historical and vernacular photography alongside photo-based period objects and performance. CIRCA also works with contemporary photographers, filmmakers and media artists to present selected works under the programme, CIRCA NOW. CIRCA NOW aims to examine and expand notions of what photo-based can mean in our current visual landscape.",,-79.87863199999987,43.25854499999528
566331.769999999552965,4790123.5,55,Donn Zver Pottery,"2290 Highway #5 W, Troy, ON L0R 2B0 ",519-647-2117,,zver@bis.on.ca,,www.donnzver.com,"Our pottery is conveniently located in the historic village of Troy, surrounded by the sights and sounds of rural Ontario. You are invited to visit our uniquely restored studio and watch skilled potters at work. Browse through the varied selection of hand crafted stoneware on display in our showroom.",,-80.18273062200049,43.26100189857291
584870.910000000149012,4790759.11,56,Dundas Valley School of Art     ,"21 Ogilvie Street Dundas, ON L9H 2S1 ",905-628-6357,,dvsa@cogeco.net,,www.dvsa.ca,"Visual art instruction for students ranging from pre-school to senior citizens. The in-house Dofasco Gallery showcases the work of local and regional artists, full part-time programs.",,-79.95424638818264,43.264864590570056
